170	none pg0 orf_length_med gc_skew phmms
171	none pg0 orf_length_med max_direction phmms
172	none pg0 shannon_slope at_skew gc_skew
173	none pg0 shannon_slope at_skew max_direction
174	none pg0 shannon_slope at_skew phmms
175	none pg0 shannon_slope gc_skew max_direction
176	none pg0 shannon_slope gc_skew phmms
177	none pg0 shannon_slope max_direction phmms
178	none pg0 at_skew gc_skew max_direction
179	none pg0 at_skew gc_skew phmms
180	none pg0 at_skew max_direction phmms
181	none pg0 gc_skew max_direction phmms
182	none orf_length_med shannon_slope at_skew gc_skew
183	none orf_length_med shannon_slope at_skew max_direction
184	none orf_length_med shannon_slope at_skew phmms
185	none orf_length_med shannon_slope gc_skew max_direction
186	none orf_length_med shannon_slope gc_skew phmms
187	none orf_length_med shannon_slope max_direction phmms
188	none orf_length_med at_skew gc_skew max_direction
189	none orf_length_med at_skew gc_skew phmms
190	none orf_length_med at_skew max_direction phmms
191	none orf_length_med gc_skew max_direction phmms
192	none shannon_slope at_skew gc_skew max_direction
193	none shannon_slope at_skew gc_skew phmms
194	none shannon_slope at_skew max_direction phmms
195	none shannon_slope gc_skew max_direction phmms
196	none at_skew gc_skew max_direction phmms
197	pg0 orf_length_med shannon_slope at_skew gc_skew
198	pg0 orf_length_med shannon_slope at_skew max_direction
199	pg0 orf_length_med shannon_slope at_skew phmms
200	pg0 orf_length_med shannon_slope gc_skew max_direction
201	pg0 orf_length_med shannon_slope gc_skew phmms
202	pg0 orf_length_med shannon_slope max_direction phmms
203	pg0 orf_length_med at_skew gc_skew max_direction
204	pg0 orf_length_med at_skew gc_skew phmms
205	pg0 orf_length_med at_skew max_direction phmms
206	pg0 orf_length_med gc_skew max_direction phmms
207	pg0 shannon_slope at_skew gc_skew max_direction
208	pg0 shannon_slope at_skew gc_skew phmms
209	pg0 shannon_slope at_skew max_direction phmms
210	pg0 shannon_slope gc_skew max_direction phmms
211	pg0 at_skew gc_skew max_direction phmms
212	orf_length_med shannon_slope at_skew gc_skew max_direction
213	orf_length_med shannon_slope at_skew gc_skew phmms
214	orf_length_med shannon_slope at_skew max_direction phmms
215	orf_length_med shannon_slope gc_skew max_direction phmms
216	orf_length_med at_skew gc_skew max_direction phmms
217	shannon_slope at_skew gc_skew max_direction phmms
218	none pg0 orf_length_med shannon_slope at_skew gc_skew
219	none pg0 orf_length_med shannon_slope at_skew max_direction
220	none pg0 orf_length_med shannon_slope at_skew phmms
221	none pg0 orf_length_med shannon_slope gc_skew max_direction
222	none pg0 orf_length_med shannon_slope gc_skew phmms
223	none pg0 orf_length_med shannon_slope max_direction phmms
224	none pg0 orf_length_med at_skew gc_skew max_direction
225	none pg0 orf_length_med at_skew gc_skew phmms
226	none pg0 orf_length_med at_skew max_direction phmms
227	none pg0 orf_length_med gc_skew max_direction phmms
228	none pg0 shannon_slope at_skew gc_skew max_direction
229	none pg0 shannon_slope at_skew gc_skew phmms
230	none pg0 shannon_slope at_skew max_direction phmms
231	none pg0 shannon_slope gc_skew max_direction phmms
232	none pg0 at_skew gc_skew max_direction phmms
233	none orf_length_med shannon_slope at_skew gc_skew max_direction
234	none orf_length_med shannon_slope at_skew gc_skew phmms
235	none orf_length_med shannon_slope at_skew max_direction phmms
236	none orf_length_med shannon_slope gc_skew max_direction phmms
237	none orf_length_med at_skew gc_skew max_direction phmms
238	none shannon_slope at_skew gc_skew max_direction phmms
239	pg0 orf_length_med shannon_slope at_skew gc_skew max_direction
240	pg0 orf_length_med shannon_slope at_skew gc_skew phmms
241	pg0 orf_length_med shannon_slope at_skew max_direction phmms
242	pg0 orf_length_med shannon_slope gc_skew max_direction phmms
243	pg0 orf_length_med at_skew gc_skew max_direction phmms
244	pg0 shannon_slope at_skew gc_skew max_direction phmms
