orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	status
-138.5	0.0888166137271	1.12358744827	0.975797718873	19	1
-138.5	0.0889428555913	1.15098671885	0.962441642249	19	1
-111.5	0.0887656817558	1.16187982791	0.957207546196	19	1
-138.5	0.0890756532744	1.16742573478	0.956535581377	19	1
-198.5	0.0892687865021	1.18330503338	0.962821971766	19	1
-198.5	0.0891235545536	1.19364908209	0.95425096006	20	1
-242.0	0.0895663534472	1.16767803877	0.977204005473	21	1
-242.0	0.0896626289498	1.18868552563	0.992157191666	22	1
-242.0	0.0896779227716	1.19912846296	1.0072875783	23	1
-290.0	0.0901865678439	1.18285728489	1.03799931897	24	1
-341.0	0.0903991890424	1.20237288783	1.05660779985	25	1
-347.0	0.0905885803646	1.22191924854	1.06577056935	26	1
-341.0	0.0904989779294	1.23854097673	1.07329589825	27	1
-290.0	0.0898478494939	1.30597958903	1.06511696355	28	1
-341.0	0.0900847147189	1.24467834808	1.06289600534	29	1
-341.0	0.0898582492268	1.22734982012	1.05332153877	29	1
-341.0	0.0898779926412	1.2285870029	1.05877972936	29	1
-341.0	0.089767573133	1.2492970713	1.05933708355	30	1
-347.0	0.0901551382526	1.24395688403	1.06416142553	31	1
-351.5	0.0903056905076	1.2496313724	1.06938763203	32	1
-362.0	0.0904860977554	1.27934419421	1.06632692243	33	1
-374.0	0.0906932222405	1.28463038379	1.06458629161	34	1
-362.0	0.0904792046578	1.30186569746	1.09542984867	35	1
-374.0	0.090601828201	1.32381787311	1.11226680217	36	1
-390.5	0.0906575534353	1.37646165478	1.15080286677	37	1
-390.5	0.0896171208546	1.36470023488	1.16136745459	38	1
-374.0	0.0894854731162	1.40868640485	1.18799563801	39	1
-374.0	0.0886992975274	1.42901127282	1.2010115729	39	1
-374.0	0.0884987193793	1.42105709999	1.19992875446	39	1
-374.0	0.0883731226322	1.42048038294	1.20289628511	39	1
-390.5	0.0886606261557	1.4172523932	1.19335647033	39	1
-390.5	0.0887063718111	1.42789241667	1.18135998535	40	1
-390.5	0.08870639441	1.39156758546	1.19237107266	80	1
-390.5	0.0885342845454	1.39087222963	1.18972334154	80	1
-374.0	0.0883521984098	1.42057704171	1.16116280625	40	1
-390.5	0.0884991339482	1.43767862452	1.17313990122	39	1
-374.0	0.0883970200393	1.38878931762	1.14938460724	39	1
-374.0	0.0884864150596	1.40205945101	1.15920228509	39	1
-390.5	0.089625325682	1.36902628872	1.1740586886	39	1
-384.5	0.0894057128056	1.35922983342	1.16162441672	38	1
-362.0	0.0891862647545	1.3392334719	1.15666014056	37	1
-329.0	0.0888455019796	1.32134230159	1.15486266501	36	1
-362.0	0.0890865999369	1.30020317096	1.15505128899	35	1
-329.0	0.0888096044585	1.28311446657	1.14782136751	34	1
-264.5	0.0883937772091	1.26698467921	1.13434807889	33	1
-300.5	0.0886145450742	1.25940969378	1.13969609885	33	1
-263.0	0.0882507094356	1.28356648407	1.11067405946	33	1
-225.5	0.0878718577501	1.22626046182	1.09200853576	33	1
-218.0	0.0872527631852	1.22063225582	1.07184641589	33	1
-210.5	0.0870836998535	1.23313639527	1.04683496043	33	1
-162.5	0.0863286070525	1.22119089101	1.01849018012	33	1
-110.0	0.0858735721268	1.19424797111	1.0029779735	33	1
-60.5	0.0857790621715	1.17681163003	1.00735433456	33	1
-110.0	0.0861490234059	1.16939520622	0.991769372974	33	1
-60.5	0.0858390815229	1.21699003078	0.996490435534	33	1
-60.5	0.0859288828994	1.24685315473	1.00888126712	33	1
-60.5	0.0859255400096	1.25849625113	0.997420422156	32	1
-110.0	0.0861353116147	1.27279780081	1.01804029597	31	1
-60.5	0.0858390815229	1.29193940184	0.998072212783	30	1
-60.5	0.0858655908838	1.29083804456	1.00074146398	29	1
16.0	0.085659031223	1.24870949525	0.994925183644	28	1
64.0	0.0853630181581	1.21954499163	0.981491444147	27	1
77.5	0	1.00019635236	0.979432797607	22	0
71.5	0	0.921189505275	0.987525394809	21	0
67.0	0	0.938662722515	0.991166469543	18	0
20.5	0	0.899540819693	0.978173032575	15	0
-57.5	0	0.839725266746	1.01563593672	16	0
67.0	0	0.813627481087	1.02608010613	19	0
68.5	0	0.833415564269	1.05066940549	19	0
68.5	0	0.743698214609	1.0517791758	19	0
20.5	0	0.761883009363	1.1075398662	19	0
-36.5	0	0.734546664987	1.13677741923	22	0
-36.5	0	0.720091680301	1.15757335985	25	0
88.0	0	0.720659822192	1.14311049386	25	0
-36.5	0	0.690175878524	1.1418597339	25	0
-71.0	0	0.69535349083	1.11516581291	25	0
22.0	0	0.73053366633	1.12318517294	25	0
-83.0	0	0.796566792743	1.13324895884	24	0
64.0	0	0.770047119102	1.13111696031	21	0
110.5	0	0.895231414927	1.09245166158	20	0
131.5	0	0.889041436622	1.04432905983	23	0
