orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	status
316.5	0	1.5120559370104352	1.2283722803176218	17	0
321.0	0	1.5137469823485137	1.2205147122920659	17	0
316.5	0	1.5349551065982028	1.2387212931221052	17	0
321.0	0	1.4282603217958165	1.2653551306518878	17	0
316.5	0	1.446358275073349	1.2597485523363914	17	0
312.0	0	1.4518743669773477	1.2068171101623901	17	0
316.5	0	1.4378644779007845	1.1700283735716883	17	0
321.0	0	1.4325653836078571	1.1294954665264239	17	0
297.0	0	1.4264783195348294	1.1162845709274436	17	0
282.0	0	1.2313639097230875	1.082786690188383	17	0
268.5	0	1.1268233209233596	1.0416812290890107	17	0
312.0	0	1.1244023425484986	1.0319715147659065	17	0
268.5	0	1.2572562887880192	1.0714227110212342	17	0
255.0	0	1.3057971696110806	1.0865436205985999	17	0
268.5	0	1.3204509834286484	1.0843781228976968	17	0
282.0	0	1.424750939471466	1.1558794019396357	17	0
223.5	0	1.4163017625465042	1.170879088255223	17	0
192.0	0	1.512674217352833	1.200785016019907	17	0
187.5	0	1.313440358214524	1.214303937245431	17	0
192.0	0	1.399362004673755	1.2454469311280847	18	0
187.5	0	1.4497742020158824	1.2333430319812426	19	0
163.5	0	1.4756502859088203	1.25932287773255	20	0
163.5	0	1.4646585772808995	1.2566622699075491	21	0
163.5	0	1.4554052837714142	1.2377378649444482	22	0
142.5	0	1.4218810294403372	1.2440315626852314	23	0
163.5	0	1.4813823362164684	1.2327951301289883	24	0
142.5	0	1.4365698808018932	1.2524901177323255	25	0
139.5	0	1.457510952151214	1.2768390113619834	26	0
118.5	0	1.4428047107392785	1.2795686746798314	27	0
118.5	0	1.4860466489829733	1.2931748452683047	28	0
123.0	0	1.5115560576300064	1.2378606719382745	28	0
123.0	0	1.461728121865415	1.204859466888074	27	0
123.0	0	1.4842228631555927	1.1944372782994153	26	0
139.5	0	1.4996361846807815	1.2024923646213	26	0
139.5	0	1.5044245326151664	1.196065615304695	26	0
139.5	0	1.4744423721251452	1.1873007904035695	26	0
142.5	0	1.4583105053387972	1.1832335018885634	26	0
139.5	0	1.532553304724863	1.203464163887736	26	0
123.0	0	1.5546702077048067	1.2107891740187104	27	0
111.0	0	1.5815971301224068	1.272678160846426	28	0
108.0	0	1.471520328353424	1.2479003326019809	29	0
87.0	0	1.4741255740727879	1.2747128783245554	30	0
37.5	0	1.5154523713346957	1.298849797085131	31	0
37.5	0	1.4631306103264947	1.2586491636629924	32	0
37.5	0	1.424905380466379	1.2556263495479094	33	0
37.5	0	1.375054324026468	1.2984991136111934	34	0
-6.0	0	1.4053673693790942	1.3104113800978838	35	0
-75.0	0	1.5046669716822203	1.3112315716040837	36	0
-147.0	0	1.5086111203996055	1.3191109047515426	37	0
-184.5	0	1.7504122377104254	1.3404929376769459	37	0
-184.5	0	1.8696301767582246	1.380126499328128	37	0
-184.5	0	1.8699256186097106	1.3858931647874497	36	0
-147.0	0	1.8173204161174317	1.3750642684932266	35	0
