orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	status
0	0	1.0	1.0	1	0
228.0	0	1.6132099141900533	0.5047356631484966	20	0
175.5	0	1.4481015279725895	0.6002960203437457	21	0
171.0	0	1.4412469048065444	0.6295951098448821	22	0
175.5	0	1.4655867685996737	0.5695716503259423	23	0
67.5	0	1.5555572289321737	0.49736712474876055	24	0
19.5	0	1.4933349397748874	0.4391800047456334	25	0
-6.0	0	1.4288646372680718	0.48322516419105305	26	0
19.5	0	1.269334344328494	0.5471333661995874	26	0
-37.5	0	1.2285007214655468	0.5368658646315406	26	0
-31.5	0	1.160857649526765	0.537810635781425	26	0
-37.5	0	1.0491174286303382	0.5449751961549686	26	0
-31.5	0	0.9585150575318759	0.5815749556690448	26	0
-58.5	0	0.9398706654829488	0.6777799034683115	26	0
-73.5	0	0.9433187505559748	0.7908757235557156	26	0
-75.0	0	0.8485281302966378	0.8005473736686113	26	0
-73.5	0	0.847990451399537	0.8014824177941027	26	0
-79.5	0	0.8953061696762679	0.9200632723179625	27	0
-76.5	0	0.8833386982317745	0.942218716388632	28	0
-75.0	0	0.8855125640311032	0.9214530392453193	29	0
-73.5	0	0.8918823992481044	0.9488670332199641	30	0
-75.0	0	0.9427133863505215	0.9913544045745137	30	0
-75.0	0	0.9618722953721813	1.0192371368425248	29	0
-79.5	0	0.9587368504695247	1.0222221739805026	28	0
-79.5	0	0.9237581870602625	0.9971992014981166	27	0
-75.0	0	0.7480005285236287	1.047677279347318	26	0
-79.5	0	0.7883134471759318	1.1398135668586153	25	0
-79.5	0	0.8911105855153797	1.1730990174054667	24	0
-79.5	0	0.9094456056474293	1.1763477915452283	23	0
-79.5	0	0.8412809350195604	1.1686102083706262	22	0
-75.0	0	0.8385493241561276	1.1176965050486751	21	0
-43.5	0	0.8347470047681057	1.078777746375714	20	0
-43.5	0	0.8701517946397794	1.053765650283502	19	0
-43.5	0	0.7865436001701618	1.133027675398441	19	0
-75.0	0	0.7869962275893284	1.2592696951536704	19	0
-75.0	0	0.8258954658376757	1.2766120577554223	19	0
-78.0	0	0.6403504480939796	1.3203924686436677	19	0
-78.0	0	0.6895658660564147	1.356628399104929	19	0
-78.0	0	0.7663054929454001	1.3941372949432749	19	0
-78.0	0	0.724439638013064	1.320812319019973	19	0
