orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	phmms	status
12.0	0	2.5729850941954022	1.681572446894587	17	0.0	0
69.0	0	2.350158929207303	1.802455772072357	17	0.0	0
12.0	0	2.3421168451856538	1.8107692839209861	17	0.0	0
69.0	0	2.340255842288213	1.899804379933402	17	0.0	0
12.0	0	2.2999430713229287	1.7918633620173448	17	0.0	0
69.0	0	2.3348409581107483	1.5121505407939382	17	0.0	0
43.5	0	2.2372953961423447	1.3224895358083233	17	0.0	0
69.0	0	2.294065453807233	1.2372604731122525	17	0.0	0
39.0	0	2.162666009636553	1.2650443121284223	17	0.0	0
36.0	0	2.37234118280353	1.3749463580844647	17	0.0	0
48.0	0	2.3426904661514913	1.24927487852241	17	0.0	0
60.0	0	2.2764835595666035	1.3985146418634682	17	0.0	0
48.0	0	2.2589850036623695	1.138559636121793	17	0.0	0
36.0	0	2.2453276987259105	0.8939569738588252	17	0.0	0
28.5	0	2.081526412591773	1.0133222775385329	17	0.0	0
36.0	0	2.1016960644291998	1.3020753881531153	17	0.0	0
19.5	0	2.1220016435318723	1.3315019918889954	17	0.0	0
18.0	0	2.0968273768056385	1.243307482846917	17	0.0	0
-13.5	0	2.241813913799141	1.517250946593721	18	0.0	0
21.0	0	2.176287561075498	1.5641585014120323	19	0.0	0
-13.5	0	2.2012506236927023	1.6711728111462985	19	0.0	0
-55.5	0	2.2756031003811965	1.7600350686339863	18	0.0	0
-55.5	0	2.1684228573097037	1.5820388534038687	17	0.0	0
-55.5	0	2.073506438142729	1.4332725259163992	16	0.0	0
-28.5	0	1.9615576839135302	1.3579927831817227	15	0.0	0
-28.5	0	1.7623389743107798	0.9948786560324709	14	0.0	0
-28.5	0	1.6388994513780157	1.1390858759909424	13	0.0	0
-129.0	0	1.6899285074132726	0.848916936842533	12	0.0	0
-129.0	0	1.4460437592014586	0.8357243789488482	11	0.0	0
-28.5	0	1.3611180539601206	0.9245653704061484	10	0.0	0
-28.5	0	1.1887874620115235	0.8710458008387953	10	0.0	0
13.5	0	1.0562620370307876	0.7032918390501063	10	0.0	0
13.5	0	0.984102497870967	0.4621614307872746	10	0.0	0
13.5	0	0.8484947637535559	0.1863190185806778	11	0.0	0
19.5	0	0.4107076373750716	0.07906300047205544	12	0.0	0
13.5	0	0.3955335745969744	0.07814037921763392	12	0.0	0
13.5	0	0.4601362320535035	0.23779494430132395	12	0.0	0
13.5	0	0.2795607621876117	0.42659532305433395	12	0.0	0
19.5	0	0.18237706182929037	0.003828138673940234	12	0.0	0
19.5	0	0.263412476009689	0.3741831813144707	12	0.0	0
22.5	0	0.5365816053160063	0.6214939442696935	12	0.0	0
22.5	0	0.5704259376970144	0.5220220003272663	12	0.0	0
22.5	0	0.5217527009302265	0.32982293013629166	12	0.0	0
22.5	0	0.485567540657784	0.487693339572146	12	0.0	0
19.5	0	0.4254700800505729	0.6562372501907626	12	0.0	0
19.5	0	0.5207951251552848	0.9685895191465913	12	0.0	0
22.5	0	0.5679374945400821	0.9893015692305402	12	0.0	0
22.5	0	0.4150080275329876	1.0434055510263383	12	0.0	0
22.5	0	0.40685047583038564	0.8792811677197008	12	0.0	0
15.0	0	0.2670178818592453	0.7679760765983614	13	0.0	0
-3.0	0	0.1252486901829609	0.5664864126349722	14	0.0	0
-3.0	0	0.03895635070978988	0.3300937265024038	15	0.0	0
-16.5	0	0.003956893555988605	0.481618690416124	16	0.0	0
-16.5	0	0.20986164673648935	0.9195872231116308	17	0.0	0
-16.5	0	0.2184025908018353	0.5870374016808875	18	0.0	0
-16.5	0	0.20137509439316428	0.2723098110823613	19	0.0	0
-16.5	0	0.23587589011776608	0.17048620213816618	20	0.0	0
-3.0	0	0.3747738304949275	0.31512658802913257	21	0.0	0
-3.0	0	0.11255610220145583	0.13279619430581457	21	0.0	0
-3.0	0	0.1515156946452278	0.042936167531396355	21	0.0	0
-3.0	0	0.05758015746006228	0.16768241190582106	21	0.0	0
-3.0	0	0.053054123526696445	0.28722418490772805	21	0.0	0
-16.5	0	0.05616701097830973	0.3349574773371133	21	0.0	0
-27.0	0	0.03364613406042552	0.16605360226871604	21	0.0	0
-27.0	0	0.016670093652562615	0.26120795446206513	21	0.0	0
-37.5	0	0.009622350965797184	0.40292321634772527	21	0.0	0
-27.0	0	0.10168621905989143	0.21501246758880063	21	0.0	0
-27.0	0	0.20107909316954872	0.7125507699188817	21	0.0	0
-27.0	0	0.18678683520568634	0.7229854674491317	21	0.0	0
-27.0	0	0.13712607520811618	0.7481779369678148	21	0.0	0
-16.5	0	0.271965309535301	0.63842727901558	21	0.0	0
-27.0	0	0.19765991376030265	0.4875218709991639	21	0.0	0
-37.5	0	0.39683781778251537	0.5904212659888642	21	0.0	0
-69.0	0	0.2708804273411959	0.41281565991560143	21	0.0	0
-106.5	0	0.6802058874091617	0.8286591342140567	21	0.0	0
-106.5	0	0.6942484321369643	0.9169037481339694	20	0.0	0
-106.5	0	0.8062855959958578	1.3863258124376305	20	0.0	0
-115.5	0	0.791526352942825	1.3376496504575208	20	0.0	0
-124.5	0	0.8348854506732868	1.033332123449664	20	0.0	0
-124.5	0	0.7128808768975612	0.8862471057751165	20	0.0	0
-124.5	0	0.49375978710824286	0.5833112573339124	20	0.0	0
-132.0	0	0.49000637430658156	0.7132336672799566	20	0.0	0
-124.5	0	0.451586063681856	0.7141851594559714	20	0.0	0
-115.5	0	0.4190197635165286	0.602632576371043	19	0.0	0
-124.5	0	0.8181994472440389	0.9430139887912933	18	0.0	0
-124.5	0	0.7814128945964126	0.8293634695338825	17	0.0	0
-124.5	0	0.6811381723187407	1.0094058723622303	16	0.0	0
-124.5	0	0.7412154009185847	1.0327491959266326	15	0.0	0
-124.5	0	0.765090197349338	1.3721481964444735	14	0.0	0
-108.0	0	0.7067102430671864	1.3025680667923087	13	0.0	0
-108.0	0	0.7632752256009021	1.6303811325136617	12	0.0	0
-108.0	0	0.9535530243435026	1.92005528610738	11	0.0	0
-69.0	0	0.908217367361366	2.0828084649528544	10	0.0	0
-69.0	0	0.6727972861509526	1.7668278006675546	10	0.0	0
-69.0	0	0.6176782865385193	1.9478569965492125	10	0.0	0
-67.5	0	0.6848596921221596	1.9097258937789792	10	0.0	0
-25.5	0	0.5010731566281063	1.7881071959582466	10	0.0	0
-25.5	0	0.33700579081348003	1.7482300989136004	10	0.0	0
-12.0	0	0.39877136258162077	1.8047300807443756	9	0.0	0
-12.0	0	0.41461057283443686	1.5230282196185003	9	0.0	0
-12.0	0	0.4468802140762912	1.2400029652512694	9	0.0	0
-12.0	0	0.5160893291088036	0.984406116770266	10	0.0	0
-12.0	0	0.36750083475184414	0.8105519586698691	11	0.0	0
30.0	0	0.41636586279349536	0.9359212917690354	12	0.0	0
30.0	0	0.4658968333293394	0.9985405756376021	12	0.0	0
30.0	0	0.5200505703053258	0.8921271837870203	12	0.0	0
-12.0	0	0.5243249249061738	1.0429618627917725	12	0.0	0
51.0	0	0.4754243862732286	0.9414381281629169	12	0.0	0
115.5	0	0.6234629753773462	0.9359709876321723	12	0.0	0
51.0	0	0.5599114555384015	0.8384292485301001	13	0.0	0
-12.0	0	0.44847626977294164	0.6450191772697494	14	0.0	0
-12.0	0	0.5417974550043397	0.6344880344732519	14	0.0	0
51.0	0	0.45748312017831383	0.6470359117869402	14	0.0	0
51.0	0	0.6442035451097796	0.7565244695859465	14	0.0	0
51.0	0	0.7366973600469853	0.5911958583079082	14	0.0	0
115.5	0	0.9039652457432102	0.6380281597113608	14	0.0	0
115.5	0	0.8613691432933708	0.46969220400971007	14	0.0	0
115.5	0	0.9032366095113094	0.5772232859912128	14	0.0	0
121.5	0	0.7750614866536373	0.8292564591374904	14	0.0	0
130.0	0	0.6949161348958364	0.7655042421870656	14	0.0	0
121.5	0	0.7770094775465445	0.9355943205285122	14	0.0	0
121.5	0	1.0882510975329829	1.0337493528406927	14	0.0	0
121.5	0	1.0845035021499378	1.2499796583278329	14	0.0	0
121.5	0	1.2860203489800226	1.228348134986822	14	0.0	0
121.5	0	0.9763646299116354	0.9256307438076643	14	0.0	0
123.0	0	0.8600168014657277	0.8789260752035233	14	0.0	0
115.5	0	0.9438761322617355	0.7807098527704801	14	0.0	0
111.0	0	0.9678728543011278	0.7445345229150424	14	0.0	0
115.5	0	1.0157701334163147	0.5144884637178571	14	0.0	0
120.0	0	1.03579944861829	0.6087082822837301	14	0.0	0
115.5	0	1.1228920407088276	0.548442701129033	14	0.0	0
111.0	0	1.0220798379182832	0.3224268362984012	14	0.0	0
102.0	0	1.1106894040809006	0.15590641966716143	14	0.0	0
123.0	0	1.1160589879531295	0.22718770682244865	14	0.0	0
121.5	0	1.3261622292755173	0.2717088878163719	14	0.0	0
120.0	0	1.2065946994608718	0.38434252483418296	14	0.0	0
102.0	0	1.3617849629649261	0.6329354417193944	14	0.0	0
120.0	0	1.405414896513163	0.5727168761836654	14	0.0	0
69.0	0	1.4753066417042224	0.7487349450730642	14	0.0	0
54.0	0	1.4591893767547712	0.8143697183575079	14	0.0	0
69.0	0	1.490481674618245	0.8685696861611323	14	0.0	0
120.0	0	1.5003365899350039	0.8890696461442947	14	0.0	0
102.0	0	1.9834236594352515	1.16489925844835	14	0.0	0
84.0	0	2.04220231808329	1.2957638048498847	14	0.0	0
82.5	0	0.21345232453172638	5.76821169802643	9	0.0	0
72	0	0.31221246905928385	6.391986175608214	9	0.0	0
82.5	0	0.419412470378211	8.852645763227871	9	0.0	0
120	0	0.34868465326687403	9.592726758460406	9	0.0	0
82.5	0	0.5780129153337048	11.321236149663111	9	0.0	0
78	0	0.7151411459656276	15.0871320137802	9	0.0	0
75.0	0	0.629704512383082	7.845981133460813	9	0.0	0
93	0	0.5593100911133244	5.822768502198085	9	0.0	0
76.5	0	0.49278609234004483	6.355058167556918	9	0.0	0
75	0	0.42034550249650476	5.0571377759088305	9	0.0	0
73.5	0	0.4398765642384439	8.753849381914845	9	0.0	0
75	0	0.41371175187265374	6.644377191536681	9	0.0	0
73.5	0	0.39203787581127375	3.8882207126666826	9	0.0	0
72	0	0.3979393657289671	2.9131602820713707	9	0.0	0
73.5	0	0.3162721962140544	1.871493361926761	9	0.0	0
75	0	0.4053658687439299	0.09139664884792155	9	0.0	0
73.5	0	0.5652964611617739	1.7476478608203925	10	0.0	0
75	0	0.5832520694213427	1.2115120690673424	11	0.0	0
76.5	0	0.5245875696641917	2.6254700041448973	12	0.0	0
78	0	0.3976829784645237	6.106921129245545	13	0.0	0
73.5	0	0.40162670425935854	3.045458961777036	14	0.0	0
73.5	0	0.6104945282746981	0.1484616861680881	14	0.0	0
73.5	0	0.7138738198518975	1.4749069414506268	14	0.0	0
69.0	0	0.6522202452883623	1.1278074601493564	14	0.0	0
28.5	0	0.7127184443051496	4.675462097566203	14	0.0	0
69.0	0	0.7080891513154592	5.240897505469829	14	0.0	0
73.5	0	0.63634918624101	2.8172839716622025	14	0.0	0
73.5	0	0.5158756085266707	10.009997291646194	14	0.0	0
70.5	0	0.5815928134198443	8.384221580536673	13	0.0	0
70.5	0	0.6412003392082992	7.346617705391868	14	0.0	0
67.5	0	0.6693594936204335	6.186308331704256	15	0.0	0
67.5	0	0.7291071308291283	2.8458698909489955	16	0.0	0
67.5	0	0.6655835752004686	1.3171027726438895	16	0.0	0
67.5	0	0.6629615115727977	1.263015530915164	16	0.0	0
33.0	0	0.5940937533085937	1.3511642390782996	16	0.0	0
33.0	0	0.5742936648547693	2.5025403218389664	16	0.0	0
33.0	0	0.5258270413600545	1.9837184884121815	16	0.0	0
33.0	0	0.6224042650386189	0.5614897163016233	16	0.0	0
0.0	0	0.627883300681979	0.9238774821327015	16	0.0	0
0.0	0	0.6014234821306425	0.7913712032428946	17	0.0	0
0.0	0	0.7369433468454734	1.5637498162532786	18	0.0	0
0.0	0	0.9108654826971971	5.368841212920345	19	0.0	0
0.0	0	0.8188917468307396	1.8304855230612045	20	0.0	0
0.0	0	0.8771080780307716	2.1877095186353546	21	0.0	0
0.0	0	0.8554671001035654	3.601972118105067	22	0.0	0
0.0	0	0.8915477387559053	6.309208383671637	23	0.0	0
0.0	0	0.847158699543898	3.2256386848650145	24	0.0	0
0.0	0	0.9878185083136445	0.17849696934639958	24	0.0	0
-12.0	0	1.0742312849467528	0.32132084235836433	24	0.0	0
