orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	status
111.0	0	1.9915898562915	1.777802859689641	13	0
93	0	1.8198447998363723	2.4704970893107254	13	0
58.5	0	1.7691775561864809	2.262137020971473	13	0
93	0	1.491936389270737	2.1776531269614083	13	0
58.5	0	1.3992438692662164	1.9801245841302881	13	0
93	0	1.4883422265129278	2.1186495272691275	13	0
82.5	0	1.2933701085196145	1.7325021889590377	13	0
129	0	1.3715250009900692	1.7637863360335897	13	0
111.0	0	1.3184626540339681	1.759883186297344	13	0
129	0	1.4010890989745912	1.8158002854817263	13	0
136.5	0	1.4265284146099944	1.7323372203082013	13	0
144	0	0.884176984861491	1.889872706636281	13	0
136.5	0	1.0217812427037551	2.071338216607586	14	0
129	0	0.9768134904892608	1.594753024055753	14	0
111.0	0	0.8777139709826431	1.9167954798986224	14	0
144	0	0.9521479742112138	1.7947367790841415	14	0
111.0	0	0.9630626628102568	1.7622774192878055	14	0
93	0	0.8304217062078142	1.577069959606302	14	0
111.0	0	0.9275313904152775	1.8451093889094419	14	0
144	0	0.8677551868695844	1.7597705622185045	15	0
111.0	0	0.8702871521368355	2.202333563287997	15	0
82.5	0	0.935529232419467	2.269955399119065	15	0
54.0	0	0.7641746110856321	2.035899567051032	15	0
60.0	0	0.64834855642707	1.906941601854835	15	0
60.0	0	0.7388263629186379	1.8487947790178003	15	0
60.0	0	0.6759910189431335	1.6004738107921797	15	0
60.0	0	0.6012369831313851	1.4030714981170023	15	0
42.0	0	0.6835582677606101	1.5649331951667436	15	0
31.5	0	0.5362530450760152	1.4426316437805515	15	0
31.5	0	0.43244653157717644	1.1435029161530068	15	0
25.5	0	0.5054024405469468	1.6216187963924222	15	0
18.0	0	0.38953368503874103	1.9198706724790777	14	0
15.0	0	0.23098065259420392	2.0772745379372193	13	0
10.5	0	0.2315868853945826	2.2716319269357537	12	0
-66.0	0	0.24769227228641874	1.9837068966327107	11	0
10.5	0	0.14418349361075986	1.8517105648014318	11	0
22.5	0	0.10896973120775885	1.748907561647778	11	0
22.5	0	0.1531462719788657	1.8071412508981302	11	0
31.5	0	0.23842825710382437	1.8170203633515967	11	0
22.5	0	0.2509326361959019	2.349319357643421	11	0
22.5	0	0.3725701923923144	2.2075724736802464	11	0
31.5	0	0.3514502250096006	1.583976520782117	11	0
42.0	0	0.4073656963330282	1.56602758137964	11	0
60.0	0	0.2259722910651434	1.7220158003416222	11	0
60.0	0	0.1945780535908085	1.8040236838045083	11	0
49.5	0	0.3046680682510227	1.5988862421495704	11	0
49.5	0	0.20230711998556708	1.949956852135648	11	0
42.0	0	0.3567191121723001	2.3082123809669293	11	0
31.5	0	0.21843714966883002	2.6228874013010146	11	0
22.5	0	0.17779156538230134	2.591868665713453	11	0
22.5	0	0.003936438223554164	2.8141359006119644	11	0
22.5	0	0.3274258506005047	2.6871633666391452	11	0
22.5	0	0.2489626103841689	2.576253622533796	11	0
22.5	0	0.24021914535005623	3.2721295153036953	11	0
31.5	0	0.4606215164729278	2.9991374450120007	10	0
31.5	0	0.2838066334358435	2.9047480515521364	9	0
42.0	0	0.23622058435799262	2.6376223028153327	9	0
49.5	0	0.44564035736595237	2.812914640587442	9	0
42.0	0	0.38214217689665864	2.2708078079066274	9	0
42.0	0	0.47437708572117243	2.350519351106916	9	0
42.0	0	0.5513065035274357	1.8702708155763785	10	0
42.0	0	0.44317351981949277	0.9915536620300298	11	0
49.5	0	0.6255728808968791	1.0269590981896597	12	0
39.0	0	0.4662695975101777	1.101927987442682	12	0
39.0	0	0.49587319127270063	1.1712910430564467	12	0
39.0	0	0.6926297995052193	1.3327569535101935	11	0
39.0	0	0.9579959779138679	1.079503663056993	11	0
39.0	0	1.010513543865525	1.1180931873624236	11	0
46.5	0	1.0727976588966868	1.4657420565104327	12	0
46.5	0	0.9547294297862033	1.4523402423011904	13	0
46.5	0	0.7900974409897543	1.1739026021839303	14	0
67.5	0	0.556194881488704	0.5927799544492293	15	0
67.5	0	0.6315574379765371	0.018397565249833898	16	0
114.0	0	0.6487261460487449	0.022843092520455206	17	0
114.0	0	0.5902166795672589	0.3410944446308468	17	0
114.0	0	0.5633452636169072	0.4129001007205955	17	0
114.0	0	0.7184926888768737	0.36685936748777626	17	0
114.0	0	0.7184926888768803	0.08422494293327099	17	0
67.5	0	0.933435689771572	0.15505755975550073	17	0
67.5	0	1.0405105894773345	0.004246340510202942	17	0
46.5	0	1.2379241046184475	0.0030421800881755795	17	0
9.0	0	1.4787874549093116	0.22607922698694485	17	0
-31.5	0	1.762450417695639	0.6958023178417736	17	0
-91.5	0	1.8923625751841027	0.6776949635288655	17	0
-91.5	0	1.8167020072216533	0.8022233381001729	17	0
-91.5	0	1.8394328271710545	0.5703852523191718	17	0
-141.0	0	2.1269956771819207	0.4173441740529536	17	0
-88.5	0	2.1349530079918653	0.05450007238713661	17	0
-39.0	0	1.7720114565734288	0.44902561598905494	17	0
-37.5	0	1.5272406973379917	0.7021219843551743	17	0
-39.0	0	1.2474856702466934	0.9617772260311582	17	0
-37.5	0	1.3091580071025342	0.8813987692578943	17	0
-39.0	0	1.2895698342921018	1.0360469833302046	17	0
-37.5	0	1.37016652970563	1.250089781351311	17	0
-37.5	0	1.2611739147177865	1.2757340195078377	17	0
-37.5	0	1.4102057635323153	1.046596632401642	17	0
-39.0	0	1.4749845231246113	0.48427979817742367	16	0
-39.0	0	1.4921751115823447	0.5288353273017744	16	0
-39.0	0	1.5131945730615	0.010406810343388577	16	0
-78.0	0	1.651519241893471	0.009400700092068698	16	0
-78.0	0	1.535638465557846	0.14403383649386517	16	0
-39.0	0	1.7286362843194316	0.9851623352644846	16	0
-39.0	0	1.544078836023147	0.7515950336017397	16	0
-39.0	0	1.74605264174557	0.5315001943909019	16	0
-75.0	0	1.706054414748039	0.6521145307041676	15	0
-75.0	0	1.6280283167627225	0.5775790048069188	14	0
-39.0	0	1.5743065263688572	0.5554357709450792	13	0
-37.5	0	1.6052778051093877	0.4895571173621669	12	0
-39.0	0	1.8608467496119703	0.31201113045783024	12	0
-39.0	0	2.2538099306055117	0.49769056112982757	13	0
-37.5	0	2.412048719567034	0.41934051537659883	14	0
-37.5	0	2.77416911107059	0.9999106338527215	15	0
-37.5	0	2.6565424181740434	1.372162050768663	15	0
-37.5	0	2.787525537245121	1.4886202167537095	15	0
0.0	0	2.685720270921573	1.241866160840417	15	0
-37.5	0	2.720240963662965	1.0220655737707889	15	0
-37.5	0	2.547013228648536	0.917662044097512	15	0
-37.5	0	2.6439166084044987	0.8530105770692253	15	0
0.0	0	2.516561645194383	0.38205737269053874	14	0
0.0	0	2.1182318719102935	0.1674192491958011	14	0
42.0	0	2.082097976916724	0.034280379242941326	14	0
42.0	0	1.8446471604471923	0.21789832834354264	14	0
42.0	0	1.560201106764728	0.3905123670780992	14	0
51.0	0	1.4338676816812346	0.22477126785181534	14	0
42.0	0	1.452274573669192	0.6407337113694043	15	0
51.0	0	1.5405517097238794	0.21879780791517575	16	0
51.0	0	1.274429295236389	0.22454303933228406	17	0
58.5	0	1.4320369010196727	0.18190044667107272	17	0
51.0	0	1.6460609683819933	0.2029511411911915	17	0
42.0	0	1.6760018038704023	0.037158413317141155	17	0
51.0	0	1.705174471737318	0.017271055137583244	17	0
55.5	0	1.7790254017518647	0.19434611790657041	17	0
79.5	0	1.7777452860817975	0.22824354832176158	17	0
55.5	0	1.842019577836421	0.07417478579272885	17	0
55.5	0	1.8063182811649503	0.1617211527556727	17	0
55.5	0	1.8625673583815932	0.33242081697571185	17	0
79.5	0	1.8800205645098862	0.00619288421204457	17	0
79.5	0	1.7846787471185295	0.2397533137428955	17	0
79.5	0	1.7215054802515646	0.35150921385627	17	0
100.5	0	1.4509392969808814	0.26149654941095724	17	0
100.5	0	1.4521088323562912	0.1880427907314338	17	0
79.5	0	1.3670208304201135	0.5376201786022727	17	0
79.5	0	1.3211083751539892	0.39168739508762845	17	0
103.5	0	1.3130234340798461	0.07428220825864768	16	0
145.5	0	1.2936211111032627	0.10609719943944754	15	0
145.5	0	1.452367065218637	0.036190472124979736	15	0
145.5	0	1.4726224894474431	0.4207246552137462	15	0
156.0	0	1.459407767162009	0.4709344958408883	15	0
156.0	0	1.1832769961343035	0.8344497431887243	15	0
121.5	0	0.9464004465436199	0.8699393229735695	15	0
103.5	0	0.969570862920654	1.0888485323453285	15	0
87.0	0	0.8574809743742533	0.8302648393195451	15	0
103.5	0	1.0534697383957015	0.7973465468704236	15	0
103.5	0	1.010736838617845	0.9397492946300418	15	0
87.0	0	1.2482884741423135	1.4816923618081712	15	0
114.0	0	1.3269013333745618	1.9219992423415768	15	0
87.0	0	1.569066956102049	2.1455670227350447	15	0
114.0	0	1.6260198045488903	2.3329637209503926	15	0
87.0	0	1.5740039879296788	2.239989971908784	15	0
87.0	0	1.8751251302615448	2.5790459143853877	14	0
48.0	0	1.5878613822896317	2.6141937915273976	15	0
87.0	0	1.745460534602823	2.3955666880447715	15	0
114.0	0	1.8963415528600287	2.7276688286300668	15	0
90.0	0	1.8687447255236147	2.2188187329652282	15	0
