orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	phmms	status
366	0.07110985995410532	0.7385095439069516	0.8642230019655397	14	4.241705954451134	0
355.5	0.07054476116213722	0.7322466547171381	0.8815204935300308	15	4.826654454667935	0
366	0.0700701703513527	0.7405247134958043	0.8909048374236154	16	4.826654454667935	0
355.5	0.0698284284452339	0.7566313858833502	0.9151021809513528	17	4.826654454667935	0
516	0.06925353398387422	0.778244212060188	0.9182538554113153	18	4.826654454667935	0
441.0	0.06885512985884869	0.7990347366378533	0.8998860196618609	19	4.826654454667935	0
366	0.0686804719744207	0.8479106147606619	0.9206962836967596	20	4.826654454667935	0
355.5	0.06848147298737041	0.833945607573484	0.9597583601555348	21	5.217016576394479	0
516	0.06788539137475122	0.906131035064633	0.9479281303540917	22	5.217016576394479	0
355.5	0.0678406429920438	0.6989796950240232	0.8753066686588227	22	5.217016576394479	0
345	0.0677408316326874	0.8284103661772917	0.8465769735564334	22	5.217016576394479	0
355.5	0.06747693840191712	0.8747046749686139	0.8679460021146124	22	5.217016576394479	0
366	0.06742492669412689	0.8822756323643333	0.9145784907922149	22	5.217016576394479	0
273.0	0.06727758218319983	0.90436848001897	0.8944694319061958	22	5.217016576394479	0
201	0.06724295085481279	0.9697334415616674	0.8792105036032888	22	5.217016576394479	0
178.5	0.0670868149733698	0.9969839697508049	0.8943734969469814	22	5.217016576394479	0
100.5	0.0672873342017735	1.0325006861411081	0.911613662381097	21	4.94997883926709	0
100.5	0.06708849902945178	1.088486172239668	0.92971813153372	20	3.9318933494117396	0
178.5	0.06694415757652138	1.0477246672587337	0.879312631700487	19	3.9318933494117396	0
100.5	0.06711153735400875	1.088662941345967	0.9064075712646609	19	3.9318933494117396	0
100.5	0.06718657420886438	1.1031130110046097	0.8737668017307207	19	2.2681505885069972	0
34.5	0.06766963246988365	1.153336996036205	0.807015809518273	19	1.103849341586563	0
22.5	0.06777532815310916	1.2248356237616536	0.7439375378730115	19	1.103849341586563	0
-1.5	0.06811317246476058	1.3096009310123815	0.7524611521637978	19	1.103849341586563	0
