orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	phmms	status
109.5	0	3.7479796438171142	1.3744697504560288	10	0.0	0
111.0	0	3.484281596291403	1.3068402858674908	10	0.0	0
109.5	0	3.254298501122256	1.2516665946234675	10	0.0	0
141.0	0	3.3574016675324803	1.2499571190501775	10	0.0	0
109.5	0	3.138441310735604	1.2547353177291014	10	0.0	0
108.0	0	2.861367928025418	1.161533883121972	10	0.0	0
109.5	0	3.017430657635431	1.290657736966745	10	0.0	0
141.0	0	3.0746992389551795	1.2112487434579127	10	0.0	0
109.5	0	3.2707988600714644	1.140865718460517	11	0.0	0
111.0	0	2.7162543583309726	1.119867806939821	11	0.0	0
109.5	0	2.7672542047872546	1.1451484350691263	11	0.0	0
141.0	0	2.709746316961133	1.2208665750855148	11	0.0	0
109.5	0	2.46707658982054	1.2102567449875263	11	0.0	0
108.0	0	2.2584322834540824	1.195892726149805	11	0.0	0
97.5	0	2.673177651667799	1.2343438230090846	11	0.0	0
108.0	0	2.7652778589561033	1.3210186311187435	11	0.0	0
84.0	0	2.836396920381172	1.3348381964947955	11	0.0	0
87.0	0	2.9884120431975614	1.3799698998334322	11	0.0	0
84.0	0	2.7217311859348183	1.345138805353652	11	0.0	0
87.0	0	2.9929353677904147	1.347951102337539	11	0.0	0
72.0	0	3.1989307721543474	1.2527233516140266	11	0.0	0
72.0	0	3.260822500945352	1.2636171740778328	11	0.0	0
72.0	0	3.4351063505713175	1.1996024760950466	11	0.0	0
57.0	0	3.428441535740121	1.0172944074577988	12	0.0	0
51.0	0	3.13632630992094	0.8535586672423628	12	0.0	0
51.0	0	3.2278618206010496	0.7113489805924534	12	0.0	0
51.0	0	3.490206676031628	0.6143514509657007	12	0.0	0
51.0	0	3.1097754054279276	0.654604608580618	12	0.0	0
51.0	0	3.189493040346427	0.5728592863398837	12	0.0	0
19.5	0	3.313541860063006	0.5388306919623741	12	0.0	0
19.5	0	3.575793568759268	0.45468480209667395	12	0.0	0
-21.0	0	3.590446145313232	0.5526408453482289	12	0.0	0
-21.0	0	3.622334977443023	0.5302646939736178	12	0.0	0
19.5	0	4.041115944541094	0.5479975271317395	12	0.0	0
19.5	0	3.6483363487935736	0.16153294290809356	11	0.0	0
19.5	0	3.1214937330643733	0.09494337825887916	11	0.0	0
-21.0	0	2.396342089542219	0.045045445687303634	11	0.0	0
-21.0	0	2.2159394233536034	0.0044367310627788864	11	0.0	0
-82.5	0	2.167755748432222	0.0032653465966045445	11	0.0	0
-82.5	0	2.0238471726670233	0.0032697495992328224	11	0.0	0
-142.5	0	1.8932341787249403	0.02392916498711627	11	0.0	0
-160.5	0	1.9126797332467844	0.031094489421641485	11	0.0	0
-160.5	0	2.0255958734973465	0.1506288000907987	11	0.0	0
-192.0	0	2.0157262746753157	0.25562685337157004	11	0.0	0
-192.0	0	2.052727650832166	0.28810863417613336	10	0.0	0
-192.0	0	2.231400098769588	0.2999868328074411	10	0.0	0
-192.0	0	1.8897822640975805	0.22267529415492113	10	0.0	0
-223.5	0	2.049734856381262	0.2633559105476892	10	0.0	0
-250.5	0	2.235941130951055	0.24392330978357807	10	0.0	0
-309.0	0	2.421567212741831	0.21015945992119467	10	0.0	0
-364.5	0	2.4150635693469384	0.2557236384841235	10	0.0	0
-364.5	0	2.2779227581619237	0.20183362673414124	10	0.0	0
-364.5	0	2.0511835194392805	0.20895981598528623	10	0.0	0
-309.0	0	2.240441780623968	0.29383285791006153	10	0.0	0
-291.0	0	1.8899102694605723	0.22874725482997765	10	0.0	0
-291.0	0	1.7926998004310601	0.16845910507419024	10	0.0	0
-312.0	0	2.0793737812343465	0.11300414592669172	10	0.0	0
-312.0	0	1.847736500730459	0.07763550170273198	10	0.0	0
-312.0	0	2.443893601961074	0.11715717946942428	9	0.0	0
-291.0	0	2.288811364184317	0.09989554273240533	8	0.0	0
-229.5	0	1.8544584114676126	0.20982235297497023	8	0.0	0
-229.5	0	1.7292489749650244	0.17280888090084595	8	0.0	0
-229.5	0	1.666313794108053	0.2474253932660544	9	0.0	0
-229.5	0	1.725206199576905	0.4567387417555799	10	0.0	0
-171.0	0	1.7767343135542373	0.6274125818408761	11	0.0	0
-163.5	0	1.7522158731934894	0.7466757381583071	12	0.0	0
-153.0	0	1.674767970107737	0.9203364916480336	13	0.0	0
-153.0	0	1.9528266321018108	0.9031875978307154	14	0.0	0
-163.5	0	1.8657616766729648	1.0859633068209396	15	0.0	0
-163.5	0	1.9071020297929115	1.1361725681370685	16	0.0	0
-163.5	0	1.2783733101607537	1.2817701135682094	16	0.0	0
-144.0	0	1.2064954300474284	1.2975977192727246	16	0.0	0
-144.0	0	1.3599604346720524	1.2535534380296869	16	0.0	0
-144.0	0	1.483723819290101	1.2114515864247866	16	0.0	0
-144.0	0	2.1153143769645633	1.4422125686941727	17	0.0	0
-124.5	0	2.31162572282794	1.6022287594359446	18	0.0	0
-124.5	0	2.9041818576766754	1.6530760054876272	19	0.0	0
-124.5	0	2.986228612348999	1.7159177160127277	20	0.0	0
-112.5	0	2.923109547516286	1.6929200904751573	21	0.0	0
-79.5	0	2.9521360837714914	1.6622093990685585	22	0.0	0
0.0	0	3.057898739803657	1.598113434410523	23	0.0	0
0.0	0	3.1319142182245714	1.6794220349517148	23	0.0	0
64.5	0	3.158128798256502	1.5940997355307585	23	0.0	0
64.5	0	3.2465923347569086	1.618148072741945	23	0.0	0
64.5	0	3.576810909163939	1.5670668524726885	23	0.0	0
13.5	0	3.4640435993960637	1.637265954601854	23	0.0	0
112.5	0	3.6048680317795956	1.5923067333273013	23	0.0	0
172.5	0	3.246672295877264	1.5938209942902035	23	0.0	0
199.5	0	3.1686488720296118	1.681042664458251	23	0.0	0
199.5	0	3.3223615582286747	1.600479302508473	23	0.0	0
205.5	0	3.13759391324136	1.5252675269579066	23	0.0	0
199.5	0	3.29844332493595	1.52942005825765	23	0.0	0
205.5	0	3.336774677960654	1.487082365920397	23	0.0	0
205.5	0	3.503842891297517	1.5185878656571967	23	0.0	0
205.5	0	3.4840686890209636	1.5210927182531404	23	0.0	0
205.5	0	3.5680879869482234	1.4759642716033756	23	0.0	0
216.0	0	2.9236919707914812	1.5903561508375068	23	0.0	0
205.5	0	2.9504825697586208	1.5607663608438571	23	0.0	0
205.5	0	2.3366938126678813	1.6039376962680088	22	0.0	0
199.5	0	1.778530862463569	1.5712578062622187	21	0.0	0
141.0	0	1.8615964020490594	1.5531156055319078	20	0.0	0
141.0	0	1.9362349672195527	1.54686699584361	20	0.0	0
141.0	0	1.5055742052971097	1.5504458443787612	20	0.0	0
141.0	0	1.201355708734617	1.5776614987332567	20	0.0	0
141.0	0	1.4182551042602782	1.6914462167701563	20	0.0	0
81.0	0	1.327290044989013	1.686033714203515	20	0.0	0
64.5	0	1.104513460378139	1.5763450262400942	20	0.0	0
4.5	0	1.1947484980432015	1.5609897153153602	20	0.0	0
4.5	0	1.0798012187755877	1.4551734666227953	20	0.0	0
4.5	0	0.6411990427867333	1.4011872916979076	20	0.0	0
4.5	0	1.093501941434157	1.330719766054472	19	0.0	0
-46.5	0	1.2057142203929574	1.2936595531291337	18	0.0	0
-46.5	0	1.1466892186142557	1.335596811306176	17	0.0	0
-46.5	0	0.959036064322387	1.2329498878843281	16	0.0	0
-46.5	0	0.9754088595074212	1.2819274620710455	16	0.0	0
-72.0	0	1.1315530266575047	1.335905938880775	16	0.0	0
-72.0	0	1.1353493161967647	1.3971320095650879	16	0.0	0
-105.0	0	1.1182260238085022	1.369667673552474	16	0.0	0
-108.0	0	1.2574137839426407	1.23677201605786	16	0.0	0
-108.0	0	0.8958797376674196	1.3193923425909957	16	0.0	0
-108.0	0	0.8856284377553225	1.3658272130997977	16	0.0	0
-108.0	0	1.180060951803936	1.3248879057373886	16	0.0	0
-108.0	0	1.207028117959173	1.3652034745072696	16	0.0	0
-105.0	0	1.0238311457066966	1.25523317709185	16	0.0	0
-105.0	0	0.6848024017957389	1.3123349537996076	15	0.0	0
-105.0	0	0.96024728105551	1.3270833584429351	14	0.0	0
-105.0	0	0.8333110843846102	1.3122455806558024	13	0.0	0
-105.0	0	0.5054046696631206	1.3008815340696498	12	0.0	0
-105.0	0	0.28461826805124324	1.2202482915476889	12	0.0	0
-108.0	0	0.04551681544053028	1.4407802852425573	12	0.0	0
-108.0	0	0.16963918906210446	1.4269678755455864	12	0.0	0
-105.0	0	0.3738472442021262	1.4533569295150124	12	0.0	0
-105.0	0	0.6719117024753665	1.5244917389189083	12	0.0	0
-72.0	0	0.5894937170400946	1.479997396209166	12	0.0	0
-72.0	0	0.6598172973198191	1.569700323703435	12	0.0	0
-105.0	0	0.5345397425242105	1.6417454071417055	12	0.0	0
-105.0	0	0.8885076917297927	1.5721259066807252	12	0.0	0
-72.0	0	0.9211617869946593	1.6471239811293803	12	0.0	0
-72.0	0	1.2653640900288332	1.639036690425295	12	0.0	0
-72.0	0	1.7751041098125135	1.664175969845559	12	0.0	0
-15.0	0	1.760545952898282	1.5929849593553589	12	0.0	0
75.0	0	1.8325003443444245	1.6444816274215943	13	0.0	0
75.0	0	2.005655290236322	1.5657546239992288	14	0.0	0
-15.0	0	2.3667494187648437	1.630287140057554	15	0.0	0
-15.0	0	2.2901085544758764	1.5720203553990766	16	0.0	0
37.5	0	2.2639258108676428	1.6423527229530683	17	0.0	0
76.5	0	2.4652623713344326	1.6763276825642413	17	0.0	0
81.0	0	2.5385514389929402	1.6833150628180245	17	0.0	0
85.5	0	2.6016560554998502	1.6628397199771658	18	0.0	0
85.5	0	2.844110614228454	1.6657796074491964	19	0.0	0
85.5	0	2.7071404876519103	1.842161949482437	20	0.0	0
96.0	0	2.7897359709303347	1.8978536324682571	21	0.0	0
96.0	0	2.503532939187744	1.9157655109174725	21	0.0	0
108.0	0	2.4262324925091803	1.932760909347315	21	0.0	0
108.0	0	2.408039936204478	2.0706135132099144	21	0.0	0
120.0	0	1.9830712543852342	2.084620108727165	21	0.0	0
120.0	0	2.0380995456783872	2.070245555813178	21	0.0	0
120.0	0	2.087524324143696	2.007151061871648	21	0.0	0
120.0	0	2.056427058768899	2.136399319487614	21	0.0	0
108.0	0	2.393397382445751	2.111308306155002	21	0.0	0
96.0	0	2.5741521152909383	2.140766738241647	21	0.0	0
108.0	0	2.303711896772706	2.1641184835387337	21	0.0	0
108.0	0	2.282937081524056	2.147721642803415	21	0.0	0
108.0	0	2.2333373604578917	2.1805927629397734	22	0.0	0
96.0	0	2.24783853801661	2.185085093763562	23	0.0	0
108.0	0	2.329027467365742	2.132052344678714	24	0.0	0
96.0	0	2.6121151987905358	2.1844299648601044	25	0.0	0
96.0	0	3.1369224976150143	2.2003244595612164	26	0.0	0
91.5	0	3.8595506257034677	2.251338263496633	27	0.0	0
108.0	0	3.6807934112294967	2.189238196495336	28	0.0	0
99.0	0	3.592002377887618	2.2758226708243448	29	0.0	0
88.5	0	3.3807640128180076	2.2598972841142033	29	0.0	0
88.5	0	3.480035364837673	2.2341483502504382	29	0.0	0
43.5	0	3.3269391068712197	2.159374455933952	29	0.0	0
88.5	0	2.901997665184124	2.103405992779732	29	0.0	0
99.0	0	2.889145961809589	2.0238076841632235	29	0.0	0
88.5	0	2.8741448005796157	1.989027189921155	28	0.0	0
63.0	0	2.3325643691926077	1.8724126170661148	27	0.0	0
63.0	0	2.2469565998811754	1.8723271653218394	26	0.0	0
63.0	0	2.08768532528335	1.9089908985167978	25	0.0	0
63.0	0	2.338227816582842	2.032586408326031	24	0.0	0
25.5	0	2.29820229346502	1.826111505433256	23	0.0	0
25.5	0	2.4613400323712793	1.9125921959863192	22	0.0	0
55.5	0	2.4730326041521944	1.8097398993193206	21	0.0	0
64.5	0	2.477340324262324	1.7901239549090588	20	0.0	0
64.5	0	2.638486972172744	1.6591292194458338	19	0.0	0
64.5	0	2.6669851870636068	1.7064525045776961	18	0.0	0
54.0	0	2.3913872464277266	1.706747390234481	18	0.0	0
54.0	0	2.284120624486638	1.7515159696611193	18	0.0	0
25.5	0	2.4716889634722894	1.7643582219257443	18	0.0	0
25.5	0	2.5092722299109775	1.6352102431303457	18	0.0	0
4.5	0	2.5024921500799584	1.5410092970598745	19	0.0	0
4.5	0	2.7819494673335683	1.4311635626940873	19	0.0	0
1.5	0	2.6074511173553643	1.4406515087009926	19	0.0	0
-3.0	0	2.3655656361677355	1.3066772117160679	19	0.0	0
-3.0	0	2.6350706418467094	1.312594767190175	19	0.0	0
4.5	0	2.6190753048956164	1.2551073856425772	19	0.0	0
4.5	0	2.255366556206499	1.385806305745937	19	0.0	0
25.5	0	1.827982898007233	1.441936099778426	18	0.0	0
54.0	0	1.7326324465574974	1.4124933466935115	17	0.0	0
60.0	0	1.2320374699623702	1.3274802988682513	16	0.0	0
60.0	0	1.1973438804128433	1.2831271617638178	15	0.0	0
51.0	0	1.0270953268644472	1.2351265823997917	14	0.0	0
51.0	0	0.8840593557962569	1.1528706527759651	13	0.0	0
51.0	0	0.8526987311215765	1.0623227755699138	12	0.0	0
45.0	0	0.3549357077085218	1.0332482995950136	12	0.0	0
45.0	0	0.0658297408082564	0.9394301014714277	13	0.0	0
45.0	0	0.10646556294767298	0.9061327815226666	14	0.0	0
45.0	0	0.624473684869979	0.8836436441903612	15	0.0	0
36.0	0	1.0751682002476521	0.7893075200937557	16	0.0	0
36.0	0	1.0221672561627049	0.7693987763914095	16	0.0	0
45.0	0	1.0420346027164609	0.7865211242034272	16	0.0	0
36.0	0	0.8793236648976787	0.6898770976636086	16	0.0	0
45.0	0	0.9241462621684459	0.6840430485270911	16	0.0	0
45.0	0	0.8934175084614364	0.698456850583243	16	0.0	0
45.0	0	0.7791506416809307	0.7491289237921358	16	0.0	0
